file,percent,plain_decode_ok,enc_decode_ok
Abdullah_Gul\Abdullah_Gul_0017.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0017.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0018.png,15,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,0,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,2,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,4,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,6,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,8,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,10,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,12,1,1
Abdullah_Gul\Abdullah_Gul_0019.png,15,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,0,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,2,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,4,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,6,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,8,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,10,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,12,1,1
Abdullatif_Sener\Abdullatif_Sener_0001.png,15,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,0,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,2,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,4,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,6,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,8,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,10,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,12,1,1
Abdullatif_Sener\Abdullatif_Sener_0002.png,15,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,0,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,2,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,4,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,6,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,8,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,10,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,12,1,1
Abel_Pacheco\Abel_Pacheco_0001.png,15,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,0,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,2,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,4,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,6,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,8,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,10,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,12,1,1
Abel_Pacheco\Abel_Pacheco_0002.png,15,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,0,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,2,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,4,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,6,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,8,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,10,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,12,1,1
Abel_Pacheco\Abel_Pacheco_0003.png,15,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,0,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,2,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,4,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,6,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,8,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,10,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,12,1,1
Abel_Pacheco\Abel_Pacheco_0004.png,15,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,0,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,2,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,4,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,6,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,8,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,10,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,12,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0001.png,15,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,0,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,2,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,4,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,6,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,8,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,10,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,12,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0002.png,15,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,0,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,2,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,4,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,6,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,8,1,1
Abid_Hamid_Mahmud_Al-Tikriti\Abid_Hamid_Mahmud_Al-Tikriti_0003.png,10,1,1
