model,criterion,ratio,params_m,macs_g,dataset,config,acc,acc_std,eer,tar_far0.01,tar_far0.001
adaface,bnscale,0.7,8.48,1.08,xqlfw,fused,0.846333,0.046784,0.119833,0.706,0.573
adaface,random,0.1,53.77,9.77,lfw,adaface,0.847833,0.014319,0.151,0.532667,0.315667
adaface,random,0.1,53.77,9.77,lfw,fused,0.997333,0.002,0.004167,0.996667,0.996333
adaface,random,0.1,53.77,9.77,xqlfw,adaface,0.301833,0.011192,0.444167,0.010667,0.001667
adaface,random,0.1,53.77,9.77,xqlfw,fused,0.800333,0.041129,0.174167,0.561667,0.405667
adaface,random,0.2,43.53,7.71,lfw,adaface,0.6475,0.027205,0.359333,0.132667,0.05
adaface,random,0.2,43.53,7.71,lfw,fused,0.997833,0.002242,0.0025,0.997,0.996667
adaface,random,0.2,43.53,7.71,xqlfw,adaface,0.003333,0.003162,0.548667,0.003,0.001
adaface,random,0.2,43.53,7.71,xqlfw,fused,0.850167,0.045237,0.127167,0.69,0.555667
adaface,random,0.3,34.55,5.9,lfw,adaface,0.669833,0.017004,0.331833,0.124,0.043333
adaface,random,0.3,34.55,5.9,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,random,0.3,34.55,5.9,xqlfw,adaface,0.003,0.00256,0.5275,0.004333,0.001667
adaface,random,0.3,34.55,5.9,xqlfw,fused,0.8505,0.039399,0.129,0.694333,0.549
adaface,random,0.4,26.41,4.33,lfw,adaface,0.5,0.0,0.332667,0.132667,0.068
adaface,random,0.4,26.41,4.33,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,random,0.4,26.41,4.33,xqlfw,adaface,0.5,0.5,0.470833,0.008,0.000667
adaface,random,0.4,26.41,4.33,xqlfw,fused,0.849667,0.043575,0.119833,0.705333,0.572
adaface,random,0.5,19.52,3.05,lfw,adaface,0.5,0.0,0.345667,0.118333,0.023667
adaface,random,0.5,19.52,3.05,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,random,0.5,19.52,3.05,xqlfw,adaface,0.5,0.5,0.507667,0.005,0.001667
adaface,random,0.5,19.52,3.05,xqlfw,fused,0.848167,0.045052,0.119833,0.706,0.573
adaface,random,0.7,8.48,1.08,lfw,adaface,0.5,0.0,0.341333,0.054667,0.011667
adaface,random,0.7,8.48,1.08,lfw,fused,0.997833,0.002242,0.002333,0.997333,0.996667
adaface,random,0.7,8.48,1.08,xqlfw,adaface,0.5,0.5,0.409833,0.009333,0.001
adaface,random,0.7,8.48,1.08,xqlfw,fused,0.846333,0.046784,0.119833,0.706,0.573
