criterion,ratio,params_m,macs_g,dataset,config,acc,acc_std,eer,tar_far0.01,tar_far0.001
bnscale,0.4,26.42,4.33,xqlfw,magface,0.185667,0.080049,0.449333,0.036667,0.007
bnscale,0.4,26.42,4.33,xqlfw,fused,0.894333,0.042689,0.1,0.766667,0.633667
bnscale,0.5,19.52,3.05,lfw,magface,0.584167,0.023597,0.416167,0.062667,0.018667
bnscale,0.5,19.52,3.05,lfw,fused,0.998333,0.002357,0.003833,0.997333,0.996667
bnscale,0.5,19.52,3.05,xqlfw,magface,0.044167,0.039779,0.472167,0.022,0.004
bnscale,0.5,19.52,3.05,xqlfw,fused,0.900667,0.036554,0.101167,0.771333,0.620333
bnscale,0.7,8.48,1.08,lfw,magface,0.5,0.0,0.385167,0.056333,0.018333
bnscale,0.7,8.48,1.08,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
bnscale,0.7,8.48,1.08,xqlfw,magface,0.5,0.5,0.4495,0.029333,0.005
bnscale,0.7,8.48,1.08,xqlfw,fused,0.9035,0.033069,0.101667,0.77,0.627
random,0.1,53.77,9.77,lfw,magface,0.885833,0.016704,0.113167,0.656667,0.427
random,0.1,53.77,9.77,lfw,fused,0.996833,0.002734,0.002167,0.997,0.996
random,0.1,53.77,9.77,xqlfw,magface,0.089,0.075906,0.476333,0.015,0.001667
random,0.1,53.77,9.77,xqlfw,fused,0.796167,0.066249,0.1765,0.607,0.455
random,0.2,43.53,7.71,lfw,magface,0.762667,0.013043,0.241667,0.312,0.161333
random,0.2,43.53,7.71,lfw,fused,0.997833,0.002693,0.003667,0.998,0.996667
random,0.2,43.53,7.71,xqlfw,magface,0.292167,0.07274,0.458667,0.014667,0.003
random,0.2,43.53,7.71,xqlfw,fused,0.856833,0.066773,0.136667,0.703333,0.556667
random,0.3,34.55,5.9,lfw,magface,0.6765,0.012144,0.316833,0.151667,0.047333
random,0.3,34.55,5.9,lfw,fused,0.998167,0.002291,0.003833,0.997333,0.996667
random,0.3,34.55,5.9,xqlfw,magface,0.3615,0.064332,0.427167,0.013,0.004333
random,0.3,34.55,5.9,xqlfw,fused,0.893167,0.037708,0.100833,0.762,0.609
random,0.4,26.42,4.33,lfw,magface,0.501,0.001856,0.355667,0.103,0.031667
random,0.4,26.42,4.33,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
random,0.4,26.42,4.33,xqlfw,magface,0.5,0.496669,0.523833,0.006667,0.001333
random,0.4,26.42,4.33,xqlfw,fused,0.9075,0.031165,0.101667,0.767,0.626333
random,0.5,19.52,3.05,lfw,magface,0.5,0.0,0.384,0.095667,0.025
random,0.5,19.52,3.05,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
random,0.5,19.52,3.05,xqlfw,magface,0.5,0.5,0.4225,0.026333,0.006667
random,0.5,19.52,3.05,xqlfw,fused,0.908167,0.029874,0.102,0.77,0.627
random,0.7,8.48,1.08,lfw,magface,0.5,0.0,0.3805,0.060667,0.013
random,0.7,8.48,1.08,lfw,fused,0.998167,0.002291,0.004,0.997333,0.996667
random,0.7,8.48,1.08,xqlfw,magface,0.5,0.5,0.423,0.037333,0.010667
random,0.7,8.48,1.08,xqlfw,fused,0.9035,0.033069,0.101667,0.77,0.627
